文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"这场灾难的始作俑者完全可以说是华盛顿的领袖们，首当其冲的就是胡佛总统本人。 首先，因为胡佛曾在竞选中许诺通过提高农产品的关税来救助美国农业，所以，当选后，他于1929年召开了一次特别国会会议。", " 这次灾难的始作俑者可以说是华盛顿的那些领袖们首当其冲的便是胡佛总统他在竞选时承诺用提高农产品关税的方法来拯救美国农业，于是，他在上任后开了一次国会会议。", 1, 0.738, 0.849, "场 完 全 就 本 人 先 因 为 曾 中 许 通 过 助 所 年 召 特 别", "那 些 便 时 承 用 方 法 拯 上 任", 84
"这场灾难的始作俑者完全可以说是华盛顿的领袖们，首当其冲的就是胡佛总统本人。 首先，因为胡佛曾在竞选中许诺通过提高农产品的关税来救助美国农业，所以，当选后，他于1929年召开了一次特别国会会议。", " 这次灾难的始作俑者可以说是华盛顿的那群领袖们 首当其冲的便是胡佛总统他在竞选时承诺通过提高农产品进口关税的方法来帮助拯救美国农业，于是，他在上任后，在1929年开了一次特别的国会会议。", 2, 0.833, 0.843, "场 完 全 就 本 人 先 因 为 曾 中 许 所 召", "那 群 便 时 承 进 口 方 法 帮 拯 上 任", 84
"这场灾难的始作俑者完全可以说是华盛顿的领袖们，首当其冲的就是胡佛总统本人。 首先，因为胡佛曾在竞选中许诺通过提高农产品的关税来救助美国农业，所以，当选后，他于1929年召开了一次特别国会会议。", "这场灾难的始作俑者 完全可以说是华盛顿的那群领袖首当其冲的便是胡佛总统本人 他在竞选时，曾经称曾经许诺通过提高农产品进口关税的作法来救助美国农业于是，他在上任后与1929年召开了一次特别的国会会议。", 3, 0.917, 0.856, "们 就 先 因 为 中 所", "那 群 便 时 经 称 经 进 口 法 上 任 与", 84
"1854年　美国颁布《堪萨斯-内布拉斯加法案》，允许这两州公开畜奴。 反对该法案的人于1854年7月组成共和党。 该法案导致工业化和奴隶制的矛盾进一步激化，酿成了堪萨斯内战，最后导致南北战争。", "1854 年 美国颁布堪萨斯 内布拉斯加法案，该法案允许这两州公开蓄奴，这法案遭到了许多人的反对 这些人组成了共和党，进一步激化了奴隶制与工业化的冲突, 酿成了堪萨斯内战 最后导致了南北战争 ", 1, 0.973, 0.901, "畜 于 月 矛 盾", "蓄 遭 到 多 些 与 冲 突", 75
"讨论中的各方都必须了解各自的权利，以及为达成最终的解决应遵循什么步骤。 （我们也设计了相关的工具，具体参见本书附录。 ）每个人必须了解求取同步所需的根本原则，即必须同时保持开放和坚定自信。", "讨论中的各方 都必须明白各自的权利，以及为达成目的所需要遵循的步骤本书，为此提供了一些工具，具体请见本书附录 也要遵循对话同步的基本原则之一，保持开放和乐观自信。", 1, 0.667, 0.757, "解 最 终 解 决 应 什 么 我 们 设 计 相 关 参 每 个 人 解 求 取 根 即 时 坚 定", "明 白 目 要 此 提 供 一 些 请 要 对 话 基 之 一 乐 观", 84
"讨论中的各方都必须了解各自的权利，以及为达成最终的解决应遵循什么步骤。 （我们也设计了相关的工具，具体参见本书附录。 ）每个人必须了解求取同步所需的根本原则，即必须同时保持开放和坚定自信。", " 讨论中的各方都必须了解各自的权利，以及为达成目的所遵循的步骤本书提供了一些工具，具体参见本书，富路以及遵循保持同步的基本原则及保持开放和坚定自信。", 2, 0.726, 0.884, "最 终 决 应 什 么 我 们 也 设 计 相 关 附 录 每 个 人 求 取 需 根 即 时", "目 提 供 一 些 富 路 基", 84
"讨论中的各方都必须了解各自的权利，以及为达成最终的解决应遵循什么步骤。 （我们也设计了相关的工具，具体参见本书附录。 ）每个人必须了解求取同步所需的根本原则，即必须同时保持开放和坚定自信。", "每个人都必须了解为实现目的需要遵循的步骤 我们设计了一些工具 请参见本书附录 每个人都必须了解求取同步所需要的根本原则及同时保持开放和坚定自信。", 3, 0.714, 0.882, "讨 论 中 各 方 各 权 利 以 达 成 最 终 决 应 什 么 也 相 关 体 即", "实 现 目 要 一 些 请 要", 84
"而未来的一年有多困难，我当时还不知道。 [1] 德国政治和所有国家的一样，有相互对立、相互斗争的政治势力，决策既依靠权力也依靠协商。 因此人们需要知道谁拥有什么样的权力，谁愿意就什么事情进行协商。", "而未来的一年是什么样，我当时还不知道 德国和其他的国家一样 有相互斗争，相互对立的势力决策，依靠权力也依靠协商，所以需要知道什么人有什么样的权利，什么人愿意就什么事情进行协商。", 1, 0.893, 0.938, "多 困 难 政 治 政 治 既 因 此 们 谁 拥 谁", "是 其 他 以 利", 84
"而未来的一年有多困难，我当时还不知道。 [1] 德国政治和所有国家的一样，有相互对立、相互斗争的政治势力，决策既依靠权力也依靠协商。 因此人们需要知道谁拥有什么样的权力，谁愿意就什么事情进行协商。", " 而我当时还不知道最后的一年有多困难，德国的政治和所有国家的政治一样，有相互对立，相互斗争的势力决策，依赖权力也依赖协商，因此就需要知道谁拥有什么样的权力，谁愿意就什么事情进行协商。", 2, 0.94, 0.952, "未 来 既 靠 靠 人 们", "最 后 赖 赖", 84
"我会在接下来的内容中解释这个逻辑，你可以做出自己的评估判断。 毫无疑问，我们的方法与众不同。 有人甚至把桥水描绘成一个像邪教一样的组织。 其实，桥水能取得成功，恰恰是因为它走到了狂热轻信的反面。", " 我会在接下来解释我的逻辑，你会做出你自己的价值判断，我们的逻辑与众不同 有人说桥水是一个邪教组织，正是我们的与众不同，恰恰走到了盲目轻信的反面。", 1, 0.698, 0.909, "内 容 中 这 可 以 评 估 毫 无 疑 问 方 法 甚 至 把 描 绘 成 像 样 其 实 能 取 得 成 功 因 为 它 狂 热", "价 值 说 正 盲 目", 86
"我会在接下来的内容中解释这个逻辑，你可以做出自己的评估判断。 毫无疑问，我们的方法与众不同。 有人甚至把桥水描绘成一个像邪教一样的组织。 其实，桥水能取得成功，恰恰是因为它走到了狂热轻信的反面。", " 我会在接下来的章节中解释我的逻辑，你可以做出自己的评估判断，毫无疑问，我们的方法与众不同，有人把桥水描绘成一个邪教组织，其实我们能取得成功，恰恰是站在了狂热轻信的反面。", 2, 0.86, 0.961, "内 容 这 甚 至 像 样 因 为 它 走 到", "章 节 站", 86
"人们经常轻率地使用“人工智能”和“机器学习”，并将其作为同义词，但二者大不相同。 我把当前的计算机辅助决策技术分为三大类：专家系统、模仿和数据开采（这是我的分类，不是科技界常用的分类）。", " 人们常把人工智能和机器学习混为一谈，其实两者大不相同，我把计算机应用分为三大类专家系统模仿和数据开采，这是我的分类不是科技界的分类。", 1, 0.709, 0.903, "经 轻 率 地 使 并 将 作 义 词 但 二 当 前 辅 助 决 策 术", "混 一 谈 实 两 应", 79
"人们经常轻率地使用“人工智能”和“机器学习”，并将其作为同义词，但二者大不相同。 我把当前的计算机辅助决策技术分为三大类：专家系统、模仿和数据开采（这是我的分类，不是科技界常用的分类）。", " 人们常轻率地使用人工智能和机器学习，并将它们作为同义词，其实二者大不相同我把使用计算机决策技术分为三大类，专家系统模仿和数据开采，这是我的分类非科技界的分类。", 2, 0.899, 0.959, "经 但 当 前 辅 助", "它 实 非", 79
"d. 当心那些混淆目标和任务的人，因为如果他们分不清楚，你就不能信任他们并给他们委派职责。 e. 当心缺乏重点、徒劳无益的“理论上应当”。 10.12 清楚地传达计划，用明确的量化指标对进展予以评估", "当心那些混淆目标和任务的人，如果他们分不清楚就不要委派他们职责，当心那些徒劳无益说理论上应当的人。分派清晰地任务并用量化指标来跟踪人无进度", 1, 0.766, 0.894, "因 为 你 能 信 给 缺 乏 重 点 传 达 计 划 明 确 对 展 予 以 评 估", "要 说 晰 来 跟 踪 度", 77
"d. 当心那些混淆目标和任务的人，因为如果他们分不清楚，你就不能信任他们并给他们委派职责。 e. 当心缺乏重点、徒劳无益的“理论上应当”。 10.12 清楚地传达计划，用明确的量化指标对进展予以评估", "当心那些 混淆目标和任务的人，因为如果他们分不清楚，你不能给他们回应职责，当心那些分不清重点徒劳无益的理论上应当生态清晰的职责，并用明确的量化指标。", 2, 0.831, 0.941, "就 信 委 派 缺 乏 地 传 达 计 划 对 进 展 予 以 评 估", "回 生 态 晰", 77
"d. 当心那些混淆目标和任务的人，因为如果他们分不清楚，你就不能信任他们并给他们委派职责。 e. 当心缺乏重点、徒劳无益的“理论上应当”。 10.12 清楚地传达计划，用明确的量化指标对进展予以评估", "当心 那些混淆目的和任务的人，因为如果他们分不清，你就不能相信他们并给他们委派职责，担心那些缺乏重点徒劳无益的理论上应当传达清楚的任务 并用明确的量化指标对结果予以评估。", 5, 0.987, 0.962, "地 计 划 进 展", "相 担 结", 77
"他们都是独立的思考者，不会让任何东西或任何人妨碍自己追求大胆的目标。 对于事情应该怎么做，他们在头脑里有十分坚定的规划，同时又始终愿意在现实中检验这些头脑规划、调整做法，从而使规划效果变得更好。", " 他们都是独立的思考者，他们头脑里有清晰的规划，不会让任何人或事情妨碍自己的规划和目标。根据现实情况调整自己的规划，使自己的规划变得更好。", 1, 0.64, 0.905, "东 西 追 求 大 胆 对 于 应 该 怎 么 做 在 十 分 坚 定 同 时 又 始 终 愿 意 在 中 检 验 这 些 做 法 从 而 效 果", "清 晰 和 根 据 况", 89
"他们都是独立的思考者，不会让任何东西或任何人妨碍自己追求大胆的目标。 对于事情应该怎么做，他们在头脑里有十分坚定的规划，同时又始终愿意在现实中检验这些头脑规划、调整做法，从而使规划效果变得更好。", " 他们都是独立的思考着，他们不会让任何人或东西妨碍他们大胆追求，对于事情应该怎么做，他们有坚定的规划，并能够根据实际情况制定规划调整，使得规划的效果更好", 2, 0.685, 0.871, "者 自 己 目 标 在 头 脑 里 十 分 同 时 又 始 终 愿 意 在 现 中 检 验 这 些 头 脑 法 从 而 变", "着 并 能 够 根 据 际 况 制", 89
"他们都是独立的思考者，不会让任何东西或任何人妨碍自己追求大胆的目标。 对于事情应该怎么做，他们在头脑里有十分坚定的规划，同时又始终愿意在现实中检验这些头脑规划、调整做法，从而使规划效果变得更好。", " 他们都是独立的思考，只不会让任何东西或人影响，他们对目标的大胆追求对事情应该怎么做，他们头脑里有坚定的规划，又始终愿意根据实际制定头脑规划 调整规划 检验效果 使得规划的效果更好。", 3, 0.843, 0.915, "者 妨 碍 自 己 于 在 十 分 同 时 在 现 中 这 些 法 从 而 变", "只 影 响 根 据 际 制", 89
"他们都是独立的思考者，不会让任何东西或任何人妨碍自己追求大胆的目标。 对于事情应该怎么做，他们在头脑里有十分坚定的规划，同时又始终愿意在现实中检验这些头脑规划、调整做法，从而使规划效果变得更好。", "他们都是独立的思考者，从不会让任何东西或人妨碍自己大胆地追求目标, 对于事情应该怎么做，他们头脑里有坚定的规划，同时又始终愿意根据实际检验头脑规划 调整规划, 达到更好的规划效果", 4, 0.843, 0.926, "在 十 分 在 现 中 这 些 法 而 使 变 得", "地 根 据 际 达 到", 89
"打造良好的文化…… 你 必须在适合你的文化环境中工作，这是你保持心情愉快、工作高效的基础。 你也必须在一个能够有效创造辉煌业绩的文化环境中工作，否则，你就得不到激励你前行的精神和物质奖励。", " 打造良好的文化，你必须要在一个积极快乐的文化环境中工作，否则你就会没有动力，你也必须要在一个能够创造辉煌业绩的环境中工作，这样你才能有激励，你不断前进的精神和物质奖赏", 1, 0.771, 0.821, "适 合 是 保 持 心 情 愉 高 效 基 础 效 得 到 行", "要 积 极 乐 会 没 动 力 要 样 才 断 进 赏", 83
"打造良好的文化…… 你 必须在适合你的文化环境中工作，这是你保持心情愉快、工作高效的基础。 你也必须在一个能够有效创造辉煌业绩的文化环境中工作，否则，你就得不到激励你前行的精神和物质奖励。", " 打造良好的文化，你必须在一个适合你的文化环境中工作，这样你就会心情愉快，工作高效，你也必须在一个能够创造辉煌业绩的文化环境中工作，否则你就得不到激励你前行的精神和物质奖励。", 2, 0.94, 0.975, "是 保 持 基 础 有", "样 会", 83
"我想帮助你们所有人好好拼搏，不断进步，实现生命的最大价值。 尽管还有很多重要的工作要做，但那时我觉得，公司给我的逐渐退出送上了一份美好的礼物。 而未来的一年有多困难，我当时还不知道。", " 我想帮助你们所有人好好拼搏，不断进步，实现生命的最大价值，而当时的我意识到公司的退出，是给我送上的最好的礼物，但当时我的，我还不知道未来年有多困难。", 1, 0.778, 0.94, "尽 管 很 重 要 工 作 要 做 那 觉 得 逐 渐 了 一 份 美 一", "意 识 到 是", 81
"我想帮助你们所有人好好拼搏，不断进步，实现生命的最大价值。 尽管还有很多重要的工作要做，但那时我觉得，公司给我的逐渐退出送上了一份美好的礼物。 而未来的一年有多困难，我当时还不知道。", " 我想帮助所有人好好进步，不断拼搏，实现人生的最大价值，尽管当时的我还有很多工作要做，但我当时觉得公司给我的逐渐退出送上了一份好的礼物，但未来的一年有多难，我当时还不知道。", 2, 0.963, 1.0, "你 们 命 重 那 美 而 困", "", 81
"清楚地知道你的原则很重要，因为这些原则将影响你生活的所有方面，这会日复一日地频繁发生。 例如，当你培养人际关系时，你的原则和别人的原则将决定你们如何互动。 拥有共同价值观和原则的人才会相处融洽。", " 清楚的，知道你的原则非常重要，因为它将影响你生活的所有方面，并且日复一日的发生，当你在人际交往时，你的原则和对方的原则决定你们说的话只有具有相同，价值观和原则的人才会相处融洽。", 1, 0.773, 0.84, "地 很 这 些 这 地 频 繁 例 如 培 养 关 系 别 如 何 互 动 拥 共", "非 常 它 并 且 在 交 往 对 说 话 只 具", 88
"清楚地知道你的原则很重要，因为这些原则将影响你生活的所有方面，这会日复一日地频繁发生。 例如，当你培养人际关系时，你的原则和别人的原则将决定你们如何互动。 拥有共同价值观和原则的人才会相处融洽。", " 清楚的，知道你的原则很重要，因为这将影响你生活的方方面面，并且日复一日平凡的出现，例如当你培养人际关系时，你的原则和对方的原则，将决定你们如何互动，具有相同，价值观和原则的人才会相处融洽。", 2, 0.875, 0.906, "地 些 所 地 频 繁 发 别 拥 共", "并 且 平 凡 出 现 对 具", 88
"（在后面的“理解人与人大不相同”中，你将学到很多关于如何识别自身特性的知识。 ） 但大多数人缺乏勇气克服自身弱点，也缺乏勇气做出这一改变所要求的不容易做出的抉择。 归根到底，这可以总结为以下5项抉择：", "在后面的理解人与人之间的不同中 你将学到如何判断自身的特点，但大多数人没有勇气去克服自己的弱点，或者没有勇气去做出克服弱点所做出的决定，大多数情况下可以归结为以下五点特征。", 1, 0.721, 0.765, "相 很 关 于 识 别 性 知 识 缺 乏 也 缺 乏 这 一 改 变 要 求 容 易 抉 择 根 底 这 总 项 抉 择", "之 间 判 断 没 有 去 己 或 者 没 有 去 决 定 情 况 五 征", 86
"1991年，我们成为第一家为机构投资者服务的货币外包管理人。 当时，机构投资者正在把更大比例的资产投入全球股权与债券市场。 国际投资增添了有价值的多样性，但也带来了缺乏管理的外汇风险敞口。", "1991年 我们成为第一家为机构投资者服务的 外包外汇管理公司机构投资者将越来越多的金钱投入外国的股票和债券市场。这增加了有价值的多样性，但也带来了缺乏管理的外汇风险敞口。", 1, 0.805, 0.857, "货 币 人 当 时 正 在 把 更 大 比 例 产 全 球 权 与 际 添", "公 司 将 越 越 金 钱 票 和 这 加", 82
"1991年，我们成为第一家为机构投资者服务的货币外包管理人。 当时，机构投资者正在把更大比例的资产投入全球股权与债券市场。 国际投资增添了有价值的多样性，但也带来了缺乏管理的外汇风险敞口。", " 1991年，我们成为了第一家为机构投资者服务的外包外汇管理人 当时机构投资者正在把更大比例的资产投入全球股权与债券市场，就增加了全球投资的有价值的多样性，但也带来了缺乏管理的外汇风险敞口。", 2, 1.012, 0.976, "货 币 国 际 添", "就 加", 82
"为了练习头脑开放，你可以： a.经常利用痛苦来引导自己进行高质量的思考。 如果你过于坚持一个观点，当某个人或某件事挑战该观点时，你就经常会产生心理痛苦，尤其是当相关挑战涉及你的某种缺点的时候。", " 为了保持头脑开放，你可以经常用痛苦引导自己进行高质量思考，当你过于坚持一个观点的时候，当某个人或某件事情产生了跟你不一样的观点，尤其是该观点涉及到你的缺点的时候，你会经常感受到痛苦。", 1, 0.894, 0.894, "练 习 利 来 如 果 挑 战 就 心 理 相 关 挑 战 种", "保 情 跟 不 样 到 感 受 到", 85
"为了练习头脑开放，你可以： a.经常利用痛苦来引导自己进行高质量的思考。 如果你过于坚持一个观点，当某个人或某件事挑战该观点时，你就经常会产生心理痛苦，尤其是当相关挑战涉及你的某种缺点的时候。", "为了练习头脑开放 你可以经常用痛苦引导高质量的思考 当你过于坚持一个观点的时候 当一件事或者一个人产生了和你相反的观点 你会经常感到难受 尤其是牵扯到你的缺点的时候", 2, 0.788, 0.87, "利 来 自 己 进 行 如 果 某 某 挑 战 该 就 心 理 关 挑 战 涉 及 某 种", "者 和 反 感 到 难 受 牵 扯 到", 85
"为了练习头脑开放，你可以： a.经常利用痛苦来引导自己进行高质量的思考。 如果你过于坚持一个观点，当某个人或某件事挑战该观点时，你就经常会产生心理痛苦，尤其是当相关挑战涉及你的某种缺点的时候。", " 为了练习头脑开放，你可以经常用痛苦来引导自己进行高质量的思考 如果你过于坚持一个观点，当一个人或一件事挑战你的观点的时候，你经常会感到心里痛苦，尤其是当这项挑战，涉及到你的某项缺点的时候。", 3, 0.941, 0.92, "利 该 就 产 生 理 相 关 种", "感 到 里 这 项 到 项", 85
"最重要的解药是头脑极度开放：人抱着一种真诚的担忧，担心自己可能看不到最好的决策方式，从而以极度开放的心态看待问题。 这是一种有效探索不同观点和可能性、不受自我意识和思维盲点阻碍的能力。", "最重要的解药是 极度的自我开放，产生一种担忧担心自己看不到解决问题的最好途径，从而保持极度的开放，这样能够避免思维盲点聆听多方的意见，探索最好的结局方式。", 1, 0.647, 0.775, "头 脑 人 抱 着 真 诚 可 策 以 态 待 有 效 同 观 和 可 性 受 识 和 阻 碍 力", "产 生 途 径 保 持 样 够 避 免 聆 听 多 见 结 局", 85
"最重要的解药是头脑极度开放：人抱着一种真诚的担忧，担心自己可能看不到最好的决策方式，从而以极度开放的心态看待问题。 这是一种有效探索不同观点和可能性、不受自我意识和思维盲点阻碍的能力。", " 最重要的解药是保持极度的开放人抱着一种真诚的担忧担心自己看不到解决问题的最好途径，从而保持极度的开放，探索各种可能性和解决方法不受自我意识和思维盲点的阻碍。", 2, 0.788, 0.893, "头 脑 策 式 以 态 待 这 有 效 同 观 力", "保 持 途 径 保 持 各 法", 85
"最重要的解药是头脑极度开放：人抱着一种真诚的担忧，担心自己可能看不到最好的决策方式，从而以极度开放的心态看待问题。 这是一种有效探索不同观点和可能性、不受自我意识和思维盲点阻碍的能力。", " 最好的解药是头脑保持极度的开放，保持一种真诚的担忧，担心自己找不到解决问题的最佳决策，从而看待问题上保持记录的开放，只是一种有效探索各种可能性和不同角度，避免自我意识和社会盲点的阻碍的方法。", 3, 0.824, 0.787, "重 要 人 抱 着 式 以 态 这 观 受 思 维 力", "保 持 保 持 找 佳 上 保 持 记 录 只 各 角 避 免 社 会 法", 85
"最重要的解药是头脑极度开放：人抱着一种真诚的担忧，担心自己可能看不到最好的决策方式，从而以极度开放的心态看待问题。 这是一种有效探索不同观点和可能性、不受自我意识和思维盲点阻碍的能力。", "最重要的解药是头脑极度开放人抱着一种真诚的担忧担心自己找不到解决问题的最佳决策，用开放的心态对待问题，这是一种探索不同角度和可能性，不受自我意识和思维盲点阻碍的能力。", 4, 0.871, 0.937, "看 好 方 式 从 而 以 看 有 效 观", "找 佳 用 对 角", 85
"如果他们自己做不到，与董事长也难以协调，就必须通知执行董事长或董事长，以便做出必要的完善。 同理，我们在桥水安排了不止一位CEO来抓公司的管理，我们还设立了不止一个CIO岗位（目前有三人）。", "如果他们自己做不到 也无法与董事长协调，那么必须告诉执行董事长和董事长，以便完善我们的制度，同时我们还安排了不止一位CEO来管理公司，我们也不止一位C L目前有三人。", 1, 0.772, 0.859, "难 就 通 知 或 出 要 在 桥 水 抓 设 立 个 岗", "无 法 那 么 告 诉 和 制 度 时", 79
"如此一来，每个人都清楚这是极端情况，而且在这一时期就算寻常做法也有可能会被临时中止。 b.当心可能有人会提出为了“机构的利益”而临时放弃创意择优。 如果这种想法占了上风，创意择优就会被弱化。", " 如此一来每个人都清楚，这是极端情况，而且即使是寻常做法，在这个时候有可能被终止，要防止因为机构的利益而放弃创意择优，如果机构的利益太高，创意择优就会被弱化。", 1, 0.747, 0.873, "期 算 也 临 中 当 心 提 出 了 临 种 想 占 了 上 风", "即 使 候 终 要 防 因 太 高", 83
"如此一来，每个人都清楚这是极端情况，而且在这一时期就算寻常做法也有可能会被临时中止。 b.当心可能有人会提出为了“机构的利益”而临时放弃创意择优。 如果这种想法占了上风，创意择优就会被弱化。", " 如此一来每个人都清楚这是极端情况 在这一时期，即使是寻常做法，也可能被临时终止，要当心可能有人因为机构的利益而放弃创意择优，如果这种想法占了上风创意择优就会被弱化。", 2, 0.855, 0.934, "且 算 中 提 出", "即 使 终 要 因", 83
"三个层次的原则的后面都有解释。 为了方便你们快速浏览，我已经在“生活原则”的结尾和“工作原则”的开头加入了各项原则的概要。 我建议你们先阅读高层次原则及其解释，以及中层次原则和分原则的标题。", "三个原则的层次后面都有解释 为了方便你们浏览 我已经在生活原则的后面和工作原则的开头加入了各项原则的概要 我建议你们先阅读后面的高层原则及解释 以及中层原则及分原则的标题", 1, 0.964, 1.0, "快 速 结 尾 其", "", 84
"这一过程会使员工的成长、发展和提升更透明，使他们了解自己为何处于这一境地，他们该如何改进。 这不仅会加快他们的个人成长，也会加快机构的成长。 c.授人以渔，而不是授人以鱼，即便这意味着会使他们犯些错。", "啦啦啦啦错误处买赛季发散扥是赛放松", 1, 0.046, 0.235, "这 一 过 程 会 使 员 工 的 成 长 展 和 提 升 更 透 明 使 他 们 了 解 自 己 为 何 于 这 一 境 地 他 们 该 如 何 改 进 这 不 仅 会 加 快 他 们 的 个 人 成 长 也 会 加 快 机 构 的 成 长 授 人 以 渔 而 不 授 人 以 鱼 即 便 这 意 味 着 会 使 他 们 犯 些", "啦 啦 啦 啦 误 买 赛 季 散 扥 赛 放 松", 87
"新生儿的大脑里就包含了数亿年生物进化累积的成果。 例如，如弗吉尼亚大学的研究者所说，虽然很多人对蛇有本能的恐惧，但没有人对花朵有本能的恐惧。 新生儿的大脑就知道蛇是危险的，花朵不危险。 这是有原因的。", "sdadfafsadfas 撒扥JJ撒扥龙发", 1, 0.0, 0.0, "新 生 儿 的 大 脑 里 就 包 含 了 数 亿 年 生 物 进 化 累 积 的 成 果 例 如 如 弗 吉 尼 亚 大 学 的 研 究 者 所 说 虽 然 很 多 人 对 蛇 有 本 能 的 恐 惧 但 没 有 人 对 花 朵 有 本 能 的 恐 惧 新 生 儿 的 大 脑 就 知 道 蛇 是 危 险 的 花 朵 不 危 险 这 是 有 原 因 的", "撒 扥 撒 扥 龙 发", 89
"因为我是少数预见到这一情况的人，我开始得到很多关注。 美国国会就这场危机举行了听证会，并邀请我去做证。 11月，我成为《路易斯·鲁凯泽华尔街一周》的特约嘉宾，这是从事市场交易工作的人必看的节目。", "三扥龙A级扥撒灯撒", 1, 0.0, 0.0, "因 为 我 是 少 数 预 见 到 这 一 情 况 的 人 我 开 始 得 到 很 多 关 注 美 国 国 会 就 这 场 危 机 举 行 了 听 证 会 并 邀 请 我 去 做 证 月 我 成 为 路 易 斯 鲁 凯 泽 华 尔 街 一 周 的 特 约 嘉 宾 这 是 从 事 市 场 交 易 工 作 的 人 必 看 的 节 目", "三 扥 龙 级 扥 撒 灯 撒", 83
"要让关键员工全面参与讨论计划。 计划不一定要征得每个人的同意，但责任人和其他关键员工必须对计划达成共识。 第四步：执行计划。 执行经各方同意的计划，以公开透明的方式跟踪计划的进展。", " 要让关键员工全面讨论之前的计划，计划不一定要征得，每个人同意，但是大家必须就计划的目的形成共识，第四部执行计划执行计划的关键的人要达成共识。", 1, 0.7, 0.862, "参 与 责 任 和 其 他 对 步 经 各 方 以 公 开 透 明 方 式 跟 踪 进 展", "之 前 是 大 家 就 目 形 部", 80
"要让关键员工全面参与讨论计划。 计划不一定要征得每个人的同意，但责任人和其他关键员工必须对计划达成共识。 第四步：执行计划。 执行经各方同意的计划，以公开透明的方式跟踪计划的进展。", "要让关键员工全面参与讨论制定计划计划规定要每一个人同意，但责任人和其他关键员工必须达成共识，第四部执行计 执行各方同意的计划公开透明的跟踪计划的进展。", 2, 0.85, 0.958, "不 征 得 对 步 经 以 式", "制 规 部", 80
"要达到这一点，你指导的员工必须达到期望值，只有你才能帮他们了解到他们是否在全力以赴。 随着他们的优缺点变得更清楚，你就能更适当地根据能力赋予职责，以使机器运行得更好，使个人进步更大。", "要达到这一点，你必须了解你的员工，只有你才了解你的员工是否全力以赴，根据这一你就可以发现他们的优点缺点，根据他们的优点缺点委派相应的职责，使得机器运转的更好，使得个人的提升更大。", 1, 0.867, 0.878, "指 导 期 望 值 能 帮 在 随 着 变 清 楚 能 适 当 地 能 赋 予 行 进 步", "可 发 现 委 派 相 应 转 提 升", 83
"对于一位可信者的观点，任何理智的人都应该心存自己可能犯错的敬畏去思考，而不应轻易拒绝。 为了把综合分析做好，你必须：（1）综合分析眼前的形势；（2）综合分析变化中的形势；（3）高效地综合考虑多个层级。", "位可信者的观点，任何理智的人都应该心存自己可能犯错的敬畏去思考，而不应轻易拒绝", 1, 0.451, 1.0, "对 于 一 为 了 把 综 合 分 析 做 好 你 必 须 综 合 分 析 眼 前 形 势 综 合 分 析 变 化 中 形 势 高 效 地 综 合 虑 多 个 层 级", "", 82
"对于一位可信者的观点，任何理智的人都应该心存自己可能犯错的敬畏去思考，而不应轻易拒绝。 为了把综合分析做好，你必须：（1）综合分析眼前的形势；（2）综合分析变化中的形势；（3）高效地综合考虑多个层级。", "位可信者的观点，任何理智的人都应该心存自己可能犯错的敬畏去思考，而不应轻易拒绝", 2, 0.451, 1.0, "对 于 一 为 了 把 综 合 分 析 做 好 你 必 须 综 合 分 析 眼 前 形 势 综 合 分 析 变 化 中 形 势 高 效 地 综 合 虑 多 个 层 级", "", 82
"如果我能打造一个充满高质量回报流[1]，并适度多样化（意思是相互补充、相互平衡）的资产组合，我就能向客户提供一个总的资产组合收益，这比他们能从其他来源得到的收益要稳定得多、可靠得多。", "如果我能打造一个充满高质量回报流[1]，并适度多样化（意思是相互补充、相互平衡）的资产组合，我就能向客户提供一个总的资产组合收益，这比他们能从其他来源得到的收益要稳定得多、可靠得多", 1, 1.0, 1.0, "", "", 80
"这是一次令人印象深刻的展示，但是很快就清楚的是，他没有回答这个问题：如果事情有变或计划有变，谁将取代他的岗位，以及将会发生什么。 谁来监督他建立的机器，深入探究其问题所在，并持续改进或决定取消？", "这是一次令人印象深刻的展示 但是很快就清楚的是如果他走了 谁来接替他改变 谁修改还是决取消", 1, 0.414, 0.857, "没 有 回 答 个 问 题 事 情 有 或 计 划 有 将 代 岗 位 以 及 将 会 发 生 什 么 监 督 建 立 机 器 入 探 究 其 问 题 所 在 并 持 续 进 或 定", "走 了 接 替 修 还", 87
"这是一次令人印象深刻的展示，但是很快就清楚的是，他没有回答这个问题：如果事情有变或计划有变，谁将取代他的岗位，以及将会发生什么。 谁来监督他建立的机器，深入探究其问题所在，并持续改进或决定取消？", "这是一次令人印象深刻的展示 但需要弄他没有回答这个问题 如果计划有变 谁来接替他岗位 谁来监督这台机器 谁来决定是否继续运行还是取消运行", 2, 0.575, 0.794, "很 快 就 清 楚 事 情 或 将 代 以 及 将 会 发 生 什 么 建 立 入 探 究 其 所 在 并 持 改 进 或", "需 要 弄 接 替 台 否 继 运 行 还 运 行", 87
